Ruta de Archivo,Lenguaje,Categoría,Líneas,Caracteres,Tokens,Costo Lectura USD,Impacto (Blast Radius),Componentes,Funciones,Hooks,Clases,Imports,Exports
.agents/skills/next-best-practices/font.md,Markdown,Documentación,245,5196,1311,0.006555,0,0,0,0,0,0,0
.agents/skills/next-best-practices/functions.md,Markdown,Documentación,108,4388,1032,0.005160,0,0,0,0,0,0,0
.agents/skills/next-best-practices/hydration-error.md,Markdown,Documentación,91,1801,443,0.002215,0,0,0,0,0,0,0
.agents/skills/next-best-practices/image.md,Markdown,Documentación,173,3882,1026,0.005130,0,0,0,0,0,0,0
.agents/skills/next-best-practices/metadata.md,Markdown,Documentación,301,7110,1821,0.009105,0,0,0,0,0,0,0
.agents/skills/next-best-practices/parallel-routes.md,Markdown,Documentación,287,6953,1861,0.009305,0,0,0,0,0,0,0
.agents/skills/next-best-practices/route-handlers.md,Markdown,Documentación,146,3172,825,0.004125,0,0,0,0,0,0,0
.agents/skills/next-best-practices/rsc-boundaries.md,Markdown,Documentación,159,4307,1056,0.005280,0,0,0,0,0,0,0
.agents/skills/next-best-practices/runtime-selection.md,Markdown,Documentación,39,985,217,0.001085,0,0,0,0,0,0,0
.agents/skills/next-best-practices/scripts.md,Markdown,Documentación,141,3326,869,0.004345,0,0,0,0,0,0,0
.agents/skills/next-best-practices/self-hosting.md,Markdown,Documentación,371,8292,2138,0.010690,0,0,0,0,0,0,0
.agents/skills/next-best-practices/suspense-boundaries.md,Markdown,Documentación,67,1366,335,0.001675,0,0,0,0,0,0,0
.agents/skills/next-cache-components/SKILL.md,Markdown,Documentación,411,9362,2366,0.011830,0,0,0,0,0,0,0
.agents/skills/next-upgrade/SKILL.md,Markdown,Documentación,50,2005,492,0.002460,0,0,0,0,0,0,0
.agents/skills/nodejs-backend-patterns/SKILL.md,Markdown,Documentación,639,16742,3991,0.019955,0,0,0,0,0,0,0
.agents/skills/nodejs-backend-patterns/references/advanced-patterns.md,Markdown,Documentación,430,9405,2196,0.010980,0,0,0,0,0,0,0
.agents/skills/nodejs-best-practices/SKILL.md,Markdown,Documentación,338,8002,1972,0.009860,0,0,0,0,0,0,0
.agents/skills/seo/SKILL.md,Markdown,Documentación,513,11207,2979,0.014895,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/AGENTS.md,Markdown,Documentación,68,2200,518,0.002590,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/CLAUDE.md,Markdown,Documentación,1,9,3,0.000015,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/README.md,Markdown,Documentación,116,3115,801,0.004005,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/SKILL.md,Markdown,Documentación,64,2577,565,0.002825,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/_contributing.md,Markdown,Documentación,171,4167,1018,0.005090,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/_sections.md,Markdown,Documentación,39,1682,350,0.001750,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/_template.md,Markdown,Documentación,34,1040,234,0.001170,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/advanced-full-text-search.md,Markdown,Documentación,55,1468,354,0.001770,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/advanced-jsonb-indexing.md,Markdown,Documentación,49,1444,341,0.001705,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/conn-idle-timeout.md,Markdown,Documentación,46,1282,278,0.001390,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/conn-limits.md,Markdown,Documentación,44,1325,318,0.001590,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/conn-pooling.md,Markdown,Documentación,41,1382,311,0.001555,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/conn-prepared-statements.md,Markdown,Documentación,46,1529,327,0.001635,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/data-batch-inserts.md,Markdown,Documentación,54,1287,338,0.001690,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/data-n-plus-one.md,Markdown,Documentación,53,1361,372,0.001860,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/data-pagination.md,Markdown,Documentación,50,1358,361,0.001805,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/data-upsert.md,Markdown,Documentación,50,1390,348,0.001740,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/lock-advisory.md,Markdown,Documentación,56,1531,339,0.001695,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/lock-deadlock-prevention.md,Markdown,Documentación,68,1855,443,0.002215,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/lock-short-transactions.md,Markdown,Documentación,50,1350,303,0.001515,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/lock-skip-locked.md,Markdown,Documentación,54,1353,345,0.001725,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/monitor-explain-analyze.md,Markdown,Documentación,45,1441,386,0.001930,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/monitor-pg-stat-statements.md,Markdown,Documentación,55,1418,329,0.001645,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/monitor-vacuum-analyze.md,Markdown,Documentación,55,1506,378,0.001890,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/query-composite-indexes.md,Markdown,Documentación,44,1454,342,0.001710,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/query-covering-indexes.md,Markdown,Documentación,40,1287,296,0.001480,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/query-index-types.md,Markdown,Documentación,48,1521,362,0.001810,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/query-missing-indexes.md,Markdown,Documentación,43,1218,293,0.001465,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/query-partial-indexes.md,Markdown,Documentación,45,1347,292,0.001460,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/schema-constraints.md,Markdown,Documentación,80,1880,474,0.002370,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/schema-data-types.md,Markdown,Documentación,46,1453,328,0.001640,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/schema-foreign-key-indexes.md,Markdown,Documentación,59,1679,413,0.002065,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/schema-lowercase-identifiers.md,Markdown,Documentación,55,1728,393,0.001965,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/schema-partitioning.md,Markdown,Documentación,55,1548,385,0.001925,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/schema-primary-keys.md,Markdown,Documentación,61,1821,432,0.002160,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/security-privileges.md,Markdown,Documentación,54,1566,333,0.001665,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/security-rls-basics.md,Markdown,Documentación,50,1372,319,0.001595,0,0,0,0,0,0,0
.agents/skills/supabase-postgres-best-practices/references/security-rls-performance.md,Markdown,Documentación,57,1493,357,0.001785,0,0,0,0,0,0,0
.agents/skills/tailwind-css-patterns/SKILL.md,Markdown,Documentación,152,6326,1491,0.007455,0,0,0,0,0,0,0
.agents/skills/tailwind-css-patterns/references/accessibility.md,Markdown,Documentación,167,4046,1044,0.005220,0,0,0,0,0,0,0
.agents/skills/tailwind-css-patterns/references/animations.md,Markdown,Documentación,141,3281,968,0.004840,0,0,0,0,0,0,0
.agents/skills/tailwind-css-patterns/references/component-patterns.md,Markdown,Documentación,169,4812,1396,0.006980,0,0,0,0,0,0,0
.agents/skills/tailwind-css-patterns/references/configuration.md,Markdown,Documentación,198,3284,922,0.004610,0,0,0,0,0,0,0
.agents/skills/tailwind-css-patterns/references/layout-patterns.md,Markdown,Documentación,222,3830,1181,0.005905,0,0,0,0,0,0,0
.agents/skills/tailwind-css-patterns/references/performance.md,Markdown,Documentación,119,2585,647,0.003235,0,0,0,0,0,0,0
.agents/skills/tailwind-css-patterns/references/reference.md,Markdown,Documentación,508,9988,2256,0.011280,0,0,0,0,0,0,0
.agents/skills/tailwind-css-patterns/references/responsive-design.md,Markdown,Documentación,159,3933,1084,0.005420,0,0,0,0,0,0,0
.agents/skills/typescript-advanced-types/SKILL.md,Markdown,Documentación,717,16806,4453,0.022265,0,0,0,0,0,0,0
.agents/skills/ui-ux-pro-max/SKILL.md,Markdown,Documentación,659,44684,10562,0.052810,0,0,0,0,0,0,0
.agents/skills/ui-ux-pro-max/data,Otros,Otros,1,31,8,0.000040,0,0,0,0,0,0,0
.agents/skills/ui-ux-pro-max/scripts,Otros,Otros,1,34,8,0.000040,0,0,0,0,0,0,0
.agents/skills/vercel-composition-patterns/AGENTS.md,Markdown,Documentación,946,22604,5129,0.025645,0,0,0,0,0,0,0
.agents/skills/vercel-composition-patterns/README.md,Markdown,Documentación,60,2132,476,0.002380,0,0,0,0,0,0,0
.agents/skills/vercel-composition-patterns/SKILL.md,Markdown,Documentación,89,2882,626,0.003130,0,0,0,0,0,0,0
.agents/skills/vercel-composition-patterns/rules/_sections.md,Markdown,Documentación,29,829,176,0.000880,0,0,0,0,0,0,0
.agents/skills/vercel-composition-patterns/rules/_template.md,Markdown,Documentación,24,329,80,0.000400,0,0,0,0,0,0,0
.agents/skills/vercel-composition-patterns/rules/architecture-avoid-boolean-props.md,Markdown,Documentación,100,2267,515,0.002575,0,0,0,0,0,0,0
.agents/skills/vercel-composition-patterns/rules/architecture-compound-components.md,Markdown,Documentación,112,2600,582,0.002910,0,0,0,0,0,0,0
.agents/skills/vercel-composition-patterns/rules/patterns-children-over-render-props.md,Markdown,Documentación,87,1886,432,0.002160,0,0,0,0,0,0,0
.agents/skills/vercel-composition-patterns/rules/patterns-explicit-variants.md,Markdown,Documentación,100,2395,514,0.002570,0,0,0,0,0,0,0
.agents/skills/vercel-composition-patterns/rules/react19-no-forwardref.md,Markdown,Documentación,42,949,257,0.001285,0,0,0,0,0,0,0
.agents/skills/vercel-composition-patterns/rules/state-context-interface.md,Markdown,Documentación,191,4970,1090,0.005450,0,0,0,0,0,0,0
.agents/skills/vercel-composition-patterns/rules/state-decouple-implementation.md,Markdown,Documentación,113,2697,591,0.002955,0,0,0,0,0,0,0
.agents/skills/vercel-composition-patterns/rules/state-lift-state.md,Markdown,Documentación,125,3219,702,0.003510,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/AGENTS.md,Markdown,Documentación,3697,103921,25360,0.126800,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/README.md,Markdown,Documentación,123,3360,849,0.004245,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/SKILL.md,Markdown,Documentación,147,7046,1714,0.008570,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/_sections.md,Markdown,Documentación,46,1554,317,0.001585,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/_template.md,Markdown,Documentación,28,631,141,0.000705,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/advanced-event-handler-refs.md,Markdown,Documentación,55,1483,356,0.001780,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/advanced-init-once.md,Markdown,Documentación,42,958,237,0.001185,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/advanced-use-latest.md,Markdown,Documentación,39,1072,268,0.001340,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/async-api-routes.md,Markdown,Documentación,38,1124,241,0.001205,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/async-cheap-condition-before-await.md,Markdown,Documentación,37,1220,278,0.001390,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/async-defer-await.md,Markdown,Documentación,82,2208,491,0.002455,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/async-dependencies.md,Markdown,Documentación,51,1292,292,0.001460,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/async-parallel.md,Markdown,Documentación,28,653,144,0.000720,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/async-suspense-boundaries.md,Markdown,Documentación,99,2508,592,0.002960,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/bundle-barrel-imports.md,Markdown,Documentación,60,2795,665,0.003325,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/bundle-conditional.md,Markdown,Documentación,31,949,215,0.001075,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/bundle-defer-third-party.md,Markdown,Documentación,49,920,220,0.001100,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/bundle-dynamic-imports.md,Markdown,Documentación,35,791,198,0.000990,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/bundle-preload.md,Markdown,Documentación,50,1149,277,0.001385,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/client-event-listeners.md,Markdown,Documentación,74,1969,476,0.002380,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/client-localstorage-schema.md,Markdown,Documentación,71,1950,455,0.002275,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/client-passive-event-listeners.md,Markdown,Documentación,48,1644,377,0.001885,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/client-swr-dedup.md,Markdown,Documentación,56,1159,312,0.001560,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/js-batch-dom-css.md,Markdown,Documentación,107,3266,780,0.003900,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/js-cache-function-results.md,Markdown,Documentación,80,1949,460,0.002300,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/js-cache-property-access.md,Markdown,Documentación,28,531,139,0.000695,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/js-cache-storage.md,Markdown,Documentación,70,1651,392,0.001960,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/js-combine-iterations.md,Markdown,Documentación,32,753,181,0.000905,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/js-early-exit.md,Markdown,Documentación,50,1133,271,0.001355,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/js-flatmap-filter.md,Markdown,Documentación,60,1411,354,0.001770,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/js-hoist-regexp.md,Markdown,Documentación,45,1028,294,0.001470,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/js-index-maps.md,Markdown,Documentación,37,834,234,0.001170,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/js-length-check-first.md,Markdown,Documentación,49,1747,374,0.001870,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/js-min-max-loop.md,Markdown,Documentación,82,2290,604,0.003020,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/js-request-idle-callback.md,Markdown,Documentación,105,2647,597,0.002985,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/js-set-map-lookups.md,Markdown,Documentación,24,532,155,0.000775,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/js-tosorted-immutable.md,Markdown,Documentación,57,1782,438,0.002190,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rendering-activity.md,Markdown,Documentación,26,564,132,0.000660,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rendering-animate-svg-wrapper.md,Markdown,Documentación,47,1185,294,0.001470,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rendering-conditional-render.md,Markdown,Documentación,40,980,273,0.001365,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rendering-content-visibility.md,Markdown,Documentación,38,814,206,0.001030,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rendering-hoist-jsx.md,Markdown,Documentación,46,1039,245,0.001225,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rendering-hydration-no-flicker.md,Markdown,Documentación,82,2308,508,0.002540,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rendering-hydration-suppress-warning.md,Markdown,Documentación,30,870,204,0.001020,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rendering-resource-hints.md,Markdown,Documentación,85,2549,639,0.003195,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rendering-script-defer-async.md,Markdown,Documentación,68,1868,439,0.002195,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rendering-svg-precision.md,Markdown,Documentación,28,588,169,0.000845,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rendering-usetransition-loading.md,Markdown,Documentación,75,2074,475,0.002375,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-defer-reads.md,Markdown,Documentación,39,973,236,0.001180,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-dependencies.md,Markdown,Documentación,45,824,214,0.001070,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-derived-state-no-effect.md,Markdown,Documentación,40,1201,309,0.001545,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-derived-state.md,Markdown,Documentación,29,728,175,0.000875,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-functional-setstate.md,Markdown,Documentación,74,2958,662,0.003310,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-lazy-state-init.md,Markdown,Documentación,58,2016,462,0.002310,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-memo-with-default-value.md,Markdown,Documentación,38,1173,253,0.001265,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-memo.md,Markdown,Documentación,44,1148,280,0.001400,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-move-effect-to-event.md,Markdown,Documentación,45,1268,299,0.001495,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-no-inline-components.md,Markdown,Documentación,82,2135,526,0.002630,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-simple-expression-in-memo.md,Markdown,Documentación,35,1018,232,0.001160,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-split-combined-hooks.md,Markdown,Documentación,64,1844,433,0.002165,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-transitions.md,Markdown,Documentación,40,1055,254,0.001270,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-use-deferred-value.md,Markdown,Documentación,59,1846,428,0.002140,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/rerender-use-ref-transient-values.md,Markdown,Documentación,73,1742,456,0.002280,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/server-after-nonblocking.md,Markdown,Documentación,73,2012,464,0.002320,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/server-auth-actions.md,Markdown,Documentación,96,2647,596,0.002980,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/server-cache-lru.md,Markdown,Documentación,41,1353,326,0.001630,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/server-cache-react.md,Markdown,Documentación,76,2228,522,0.002610,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/server-dedup-props.md,Markdown,Documentación,65,2053,500,0.002500,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/server-hoist-static-io.md,Markdown,Documentación,149,4423,1052,0.005260,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/server-no-shared-module-state.md,Markdown,Documentación,50,1766,369,0.001845,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/server-parallel-fetching.md,Markdown,Documentación,83,1554,364,0.001820,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/server-parallel-nested-fetching.md,Markdown,Documentación,34,990,228,0.001140,0,0,0,0,0,0,0
.agents/skills/vercel-react-best-practices/rules/server-serialization.md,Markdown,Documentación,38,996,241,0.001205,0,0,0,0,0,0,0
.agents/skills/web-design-guidelines/SKILL.md,Markdown,Documentación,39,1231,268,0.001340,0,0,0,0,0,0,0
.dockerignore,Docker,Infraestructura,34,460,116,0.000580,0,0,0,0,0,0,0
.gitignore,Git Configuration,Configuración,41,480,146,0.000730,0,0,0,0,0,0,0
AGENTS.md,Markdown,Documentación,5,325,74,0.000370,0,0,0,0,0,0,0
AUDITORIA_TECNICA_FLASHCHECKOUT.md,Markdown,Documentación,188,8613,2177,0.010885,0,0,0,0,0,0,0
CLAUDE.md,Markdown,Documentación,1,11,5,0.000025,0,0,0,0,0,0,0
Dockerfile,Docker,Infraestructura,29,859,220,0.001100,0,0,0,0,0,0,0
FLASHCHECKOUT_STATUS_REPORT.md,Markdown,Documentación,94,13359,3323,0.016615,0,0,0,0,0,0,0
Flascheckout_MVP_1.md,Markdown,Documentación,595,25226,6341,0.031705,0,0,0,0,0,0,0
Flashcheckout_vision.md,Markdown,Documentación,141,3966,809,0.004045,0,0,0,0,0,0,0
INFORME_PROYECTO_FLASHCHECKOUT.md,Markdown,Documentación,178,8137,1974,0.009870,0,0,0,0,0,0,0
PLAN_MEJORAS_FLASHCHECKOUT.md,Markdown,Documentación,240,8955,2285,0.011425,0,0,0,0,0,0,0
README.md,Markdown,Documentación,262,13159,3257,0.016285,0,0,0,0,0,0,0
app/(auth)/sign-in/page.tsx,TypeScript,Código,10,227,53,0.000265,0,1,0,0,0,2,1
app/(auth)/sign-up/page.tsx,TypeScript,Código,10,227,53,0.000265,0,1,0,0,0,2,1
app/(auth)/sso-callback/[[...sso-callback]]/page.tsx,TypeScript,Código,5,158,35,0.000175,0,1,0,0,0,1,1
app/(dashboard)/affiliate/page.tsx,TypeScript,Código,5,154,29,0.000145,0,1,0,0,0,1,1
app/(dashboard)/agente/page.tsx,TypeScript,Código,7,182,41,0.000205,0,1,0,0,0,1,2
app/(dashboard)/analitica/page.tsx,TypeScript,Código,7,194,45,0.000225,0,1,0,0,0,1,2
app/(dashboard)/automatizaciones/page.tsx,TypeScript,Código,5,182,34,0.000170,0,1,0,0,0,1,1
app/(dashboard)/changelog/page.tsx,TypeScript,Código,5,158,33,0.000165,0,1,0,0,0,1,1
app/(dashboard)/clientes/page.tsx,TypeScript,Código,7,190,37,0.000185,0,1,0,0,0,1,2
app/(dashboard)/configuracion/page.tsx,TypeScript,Código,7,190,37,0.000185,0,1,0,0,0,1,2
app/(dashboard)/conversaciones/page.tsx,TypeScript,Código,7,214,41,0.000205,0,1,0,0,0,1,2
app/(dashboard)/dashboard/page.tsx,TypeScript,Código,9,258,53,0.000265,0,1,0,0,0,1,2
app/(dashboard)/dashboard/the-office/page.tsx,TypeScript,Código,7,194,40,0.000200,0,1,0,0,0,1,2
app/(dashboard)/descuentos/page.tsx,TypeScript,Código,5,158,36,0.000180,0,1,0,0,0,1,1
app/(dashboard)/envios/page.tsx,TypeScript,Código,7,182,41,0.000205,0,1,0,0,0,1,2
app/(dashboard)/hablar-con-nova/page.tsx,TypeScript,Código,7,210,49,0.000245,0,1,0,0,0,1,2
app/(dashboard)/help/page.tsx,TypeScript,Código,5,133,28,0.000140,0,1,0,0,0,1,1
app/(dashboard)/historial-chats/page.tsx,TypeScript,Código,7,214,45,0.000225,0,1,0,0,0,1,2
app/(dashboard)/integraciones/page.tsx,TypeScript,Código,7,210,41,0.000205,0,1,0,0,0,1,2
app/(dashboard)/layout.tsx,TypeScript,Código,274,12833,3053,0.015265,0,2,0,0,0,14,1
app/(dashboard)/pagos/page.tsx,TypeScript,Código,5,138,31,0.000155,0,1,0,0,0,1,1
app/(dashboard)/pedidos/page.tsx,TypeScript,Código,5,146,31,0.000155,0,1,0,0,0,1,1
app/(dashboard)/productos/page.tsx,TypeScript,Código,5,154,28,0.000140,0,1,0,0,0,1,1
app/(dashboard)/tienda/page.tsx,TypeScript,Código,7,218,44,0.000220,0,1,0,0,0,1,2
app/(dashboard)/verificaciones/page.tsx,TypeScript,Código,7,214,41,0.000205,0,1,0,0,0,1,2
app/api/agent/flashy/route.ts,TypeScript,Código,97,7191,1749,0.008745,0,0,1,0,0,3,2
app/api/agent/nova/route.ts,TypeScript,Código,352,12831,3015,0.015075,0,0,7,0,0,7,3
app/api/agent/office/custom/route.ts,TypeScript,Código,154,4351,1107,0.005535,0,0,2,0,0,4,3
app/api/agent/office/layout/route.ts,TypeScript,Código,44,1393,326,0.001630,0,0,1,0,0,6,2
app/api/agent/office/route.ts,TypeScript,Código,221,8146,1910,0.009550,0,0,4,0,0,5,2
app/api/ai/agent/route.ts,TypeScript,Código,37,963,236,0.001180,0,0,1,0,0,2,2
app/api/ai/migrate/route.ts,TypeScript,Código,70,2267,546,0.002730,0,0,1,0,0,3,2
